  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	     rpm	     rho	    P001	    P002	    P003	    P004	    P005	    P006	    P007	    P008	    P009	    P010	    P011	    P012	    P013	    P014	    P015	    P016	    P017	    P018	    P019	    P020	    P021	    P022	    P023	    P024	    P025	    P026	    P027	    P028	    P029	    P030	    P031	    P032	    P033	    P034	    P035	    P036	    P037	    P038	    P039	    P040	    P041	    P042	    P043	    P044	    P045	    P046	    P047	    P048	    P049	    P050	    P051	    P052	    P053	    P054	    P055	    P056	    P057	    P058	    P059	    P060	    P061	    P062	    P063	    P064	    P065	    P066	    P067	    P068	    P069	    P070	    P071	    P072	    P073	    P074	    P075	    P076	    P077	    P078	    P079	    P080	    P081	    P082	    P083	    P084	    P085	    P086	    P087	    P088	    P089	    P090	    P091	    P092	    P093	    P094	    P095	    P096	    P097	    P098	    P099	    P100	    P101	    P102	    P103	    P104	    P105	    P106	    P107	    P108	    P109	    P110	    P111	    P112	    P113
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	   1/min	  kg/m^3	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa
      26	 16:03:21	  12.000	  130.30	 1028.43	   23.97	  870.22	   1.206	-1342.85	 -944.93	-1057.91	 -605.04	 -496.79	 -403.42	 -345.08	 -309.78	 -269.89	 -237.68	 -199.14	 -184.27	 -159.93	 -136.73	 -119.40	  -98.91	  -70.75	  -57.05	  -46.04	  -43.92	  -40.01	  -34.89	  -29.65	  -30.86	  -19.46	-1344.70	  -35.61	  264.16	  248.28	  199.50	  162.55	  138.33	  120.22	  105.99	   93.65	   83.17	   74.30	   65.16	   59.14	   52.64	   46.87	   41.54	   37.67	   33.61	   30.97	   28.82	   26.66	   25.01	  -19.46	  274.79	  274.98	  274.79	  275.02	  275.35	  275.02	  274.70	  275.03	  275.03	  276.02	  275.65	  273.80	  275.61	  273.99	  274.95	  274.35	  275.01	  274.23	  272.14	  262.54	  242.59	  222.46	  202.32	  189.74	  194.54	  212.56	  235.17	  254.00	  266.30	  273.96	  274.41	  276.90	  277.98	  280.07	  277.57	  276.79	  276.44	  277.20	  274.50	  276.78	  274.61	  279.14	  276.80	  275.50	  276.78	  278.62	  278.03	  278.14	    9.41	   17.36	   18.11	   16.71	   14.88	   11.31	   11.53	   13.57	   13.23	   11.34	   11.23	   17.86	   -0.06	    0.01	   -0.14	   -0.03
      27	 16:03:38	  11.750	  130.46	 1028.44	   23.97	  870.10	   1.206	-1325.24	 -946.50	 -985.81	 -611.66	 -501.43	 -408.40	 -350.90	 -316.03	 -276.81	 -246.72	 -208.34	 -195.59	 -171.69	 -149.75	 -134.37	 -112.60	  -84.02	  -66.74	  -51.65	  -45.49	  -37.08	  -27.65	  -21.94	  -21.32	  -12.01	-1327.84	  -30.66	  265.94	  248.01	  198.68	  161.54	  137.53	  119.25	  105.05	   92.89	   82.54	   73.78	   64.97	   58.94	   52.61	   47.06	   41.89	   38.34	   34.58	   32.21	   30.55	   28.88	   27.86	  -12.01	  276.13	  276.08	  276.02	  276.20	  276.72	  276.35	  276.01	  276.29	  276.33	  277.41	  276.98	  275.10	  276.88	  275.25	  276.23	  275.61	  276.45	  275.87	  274.73	  267.27	  249.40	  228.61	  206.98	  192.50	  195.27	  212.06	  235.08	  255.16	  267.89	  275.56	  275.70	  278.11	  278.54	  280.88	  278.05	  277.40	  277.07	  277.94	  275.22	  277.57	  275.27	  279.87	  277.54	  276.42	  277.46	  279.31	  278.81	  278.84	    9.15	   17.08	   17.79	   16.36	   14.67	   11.13	   11.72	   13.14	   12.95	   11.00	   10.88	   17.54	   -0.39	   -0.02	   -0.09	    0.12
      28	 16:03:57	  11.500	  131.63	 1028.45	   23.97	  870.23	   1.206	-1296.88	 -917.92	-1009.61	 -617.24	 -502.06	 -408.61	 -352.31	 -317.44	 -279.03	 -249.35	 -211.50	 -200.57	 -176.34	 -155.64	 -141.42	 -118.37	  -88.82	  -70.92	  -54.27	  -46.25	  -35.59	  -23.51	  -17.54	  -14.92	   -6.12	-1297.99	  -18.26	  269.07	  249.09	  198.65	  161.05	  137.14	  119.23	  105.13	   93.04	   82.78	   74.17	   65.50	   59.58	   53.38	   48.02	   42.96	   39.65	   36.09	   33.93	   32.64	   31.30	   30.67	   -6.12	  278.56	  278.54	  278.48	  278.75	  279.21	  278.80	  278.50	  278.81	  278.93	  280.05	  279.64	  277.63	  279.34	  277.79	  278.75	  278.25	  278.90	  278.47	  277.97	  271.63	  255.76	  235.53	  213.86	  197.27	  198.22	  214.71	  238.30	  258.43	  271.05	  278.20	  278.08	  280.42	  279.04	  282.86	  278.68	  278.12	  277.57	  278.49	  275.90	  278.12	  275.82	  280.45	  278.10	  276.85	  278.10	  279.92	  279.38	  279.30	    9.28	   17.34	   18.09	   16.69	   15.14	   11.94	   12.79	   13.70	   13.07	   11.18	   11.16	   17.85	   -0.30	   -0.09	   -0.20	   -0.14
      29	 16:04:14	  11.250	  131.68	 1028.45	   23.99	  870.07	   1.206	-1241.53	 -882.45	-1004.53	 -571.39	 -491.82	 -404.25	 -349.79	 -316.83	 -278.93	 -250.73	 -213.28	 -203.38	 -179.14	 -158.96	 -145.88	 -122.82	  -92.59	  -73.98	  -56.49	  -47.49	  -35.65	  -21.91	  -14.47	  -11.07	   -1.99	-1242.84	   -5.09	  270.45	  247.04	  195.68	  158.69	  134.61	  117.03	  103.15	   91.27	   81.14	   72.72	   64.31	   58.56	   52.55	   47.32	   42.55	   39.43	   36.09	   34.20	   33.12	   32.11	   31.92	   -1.99	  278.17	  278.17	  278.01	  278.46	  278.84	  278.41	  278.05	  278.30	  278.60	  279.60	  279.10	  277.11	  278.79	  277.37	  278.36	  277.87	  278.43	  278.34	  278.28	  273.42	  258.95	  239.80	  217.06	  198.22	  197.82	  212.75	  235.96	  256.60	  270.30	  277.87	  277.68	  280.17	  278.53	  282.08	  277.98	  277.34	  276.95	  277.76	  275.13	  277.37	  275.19	  279.75	  277.32	  276.27	  277.35	  279.14	  278.83	  278.51	    8.98	   16.87	   17.57	   16.15	   14.62	   11.72	   12.60	   13.44	   12.70	   10.74	   10.69	   17.39	   -0.19	   -0.04	   -0.11	    0.12
      30	 16:05:05	  11.200	  131.75	 1028.47	   24.01	  869.76	   1.206	-1239.41	 -871.35	 -996.85	 -563.04	 -492.52	 -405.85	 -351.39	 -318.07	 -280.39	 -252.32	 -214.41	 -204.37	 -180.68	 -160.73	 -146.89	 -123.59	  -93.63	  -75.04	  -57.43	  -47.90	  -35.71	  -21.81	  -13.99	  -10.65	   -1.39	-1240.68	   -0.45	  272.03	  247.76	  196.26	  159.27	  135.28	  117.19	  103.26	   91.32	   81.27	   72.82	   64.16	   58.53	   52.53	   47.37	   42.57	   39.48	   36.13	   34.32	   33.26	   32.31	   32.08	   -1.39	  279.59	  279.50	  279.53	  279.73	  280.37	  279.88	  279.60	  279.89	  280.08	  281.21	  280.69	  278.44	  280.33	  278.94	  279.96	  279.36	  279.81	  279.78	  279.71	  275.48	  261.95	  242.81	  220.24	  200.62	  199.42	  213.59	  236.26	  257.61	  271.55	  279.24	  279.15	  281.45	  279.31	  283.14	  278.80	  278.37	  277.72	  278.55	  275.96	  278.27	  275.96	  280.52	  278.06	  277.02	  278.15	  279.93	  279.37	  279.49	    9.34	   17.23	   17.90	   16.44	   14.94	   11.89	   12.66	   13.39	   13.00	   11.04	   11.01	   17.73	   -0.20	   -0.04	   -0.08	    0.13
      31	 16:05:23	  11.100	  130.85	 1028.46	   24.02	  870.24	   1.206	-1201.79	 -831.95	 -957.00	 -538.56	 -482.16	 -398.50	 -345.08	 -313.12	 -275.98	 -248.32	 -211.21	 -202.11	 -178.80	 -159.35	 -145.80	 -122.71	  -93.24	  -74.39	  -57.01	  -47.45	  -34.92	  -20.64	  -12.51	   -8.66	    0.41	-1203.68	    6.50	  269.60	  244.53	  193.23	  156.73	  132.89	  115.31	  101.68	   89.97	   80.08	   71.82	   63.38	   57.89	   52.04	   46.96	   42.29	   39.31	   36.12	   34.42	   33.44	   32.62	   32.61	    0.41	  276.81	  276.72	  276.71	  277.05	  277.57	  277.07	  276.80	  277.08	  277.25	  278.17	  277.70	  275.64	  277.73	  276.11	  276.92	  276.42	  277.16	  276.98	  277.33	  273.39	  260.92	  241.75	  219.23	  199.42	  198.08	  211.38	  233.86	  255.28	  268.95	  276.50	  276.42	  278.93	  278.91	  282.07	  278.37	  277.91	  277.23	  278.06	  275.41	  277.91	  275.58	  280.01	  277.71	  276.61	  277.72	  279.50	  278.99	  279.05	    9.50	   17.41	   18.08	   16.66	   15.22	   12.37	   13.36	   13.94	   13.15	   11.23	   11.20	   17.90	    0.21	    0.04	   -0.06	    0.10
      32	 16:05:37	  11.000	  129.68	 1028.45	   24.02	  870.06	   1.206	-1188.57	 -813.08	 -930.58	 -531.02	 -480.18	 -396.92	 -344.76	 -312.89	 -276.44	 -248.89	 -212.01	 -203.38	 -179.85	 -160.21	 -146.78	 -124.31	  -94.56	  -75.68	  -58.05	  -48.12	  -35.19	  -20.14	  -11.65	   -7.68	    1.91	-1189.74	   12.64	  270.34	  243.43	  192.55	  155.88	  132.34	  114.57	  100.96	   89.34	   79.44	   71.25	   63.00	   57.50	   51.68	   46.69	   42.10	   39.19	   36.08	   34.41	   33.58	   32.85	   32.97	    1.91	  277.07	  276.94	  277.13	  277.35	  277.84	  277.44	  277.05	  277.25	  277.48	  278.51	  277.97	  275.91	  277.90	  276.49	  277.32	  276.72	  277.50	  277.34	  277.88	  274.54	  262.18	  243.89	  221.71	  200.78	  198.09	  211.97	  235.09	  256.24	  269.89	  277.10	  276.55	  279.28	  278.51	  281.54	  277.89	  277.30	  276.84	  277.52	  274.99	  277.25	  275.16	  279.65	  277.23	  276.13	  277.21	  279.06	  278.74	  278.50	    9.40	   17.28	   17.96	   16.53	   15.10	   12.40	   13.44	   13.83	   13.04	   11.10	   11.10	   17.77	   -0.19	   -0.02	   -0.17	   -0.01
      33	 16:05:54	  10.900	  130.55	 1028.45	   24.02	  869.71	   1.206	-1180.39	 -780.90	 -903.99	 -528.79	 -477.23	 -396.25	 -344.86	 -313.75	 -276.69	 -249.56	 -212.87	 -204.00	 -182.29	 -161.65	 -148.29	 -125.95	  -95.87	  -77.04	  -58.91	  -48.79	  -35.38	  -19.63	  -11.26	   -6.73	    3.69	-1180.66	   18.91	  272.23	  243.49	  192.13	  155.17	  131.39	  114.02	  100.45	   88.86	   79.03	   70.85	   62.45	   57.17	   51.44	   46.51	   41.96	   39.14	   36.08	   34.50	   33.76	   33.16	   33.37	    3.69	  278.17	  278.05	  277.95	  278.25	  278.75	  278.41	  278.03	  278.27	  278.55	  279.44	  279.14	  276.94	  278.84	  277.21	  278.23	  277.75	  278.30	  278.18	  278.65	  275.84	  264.37	  246.51	  224.05	  202.75	  199.98	  213.72	  236.48	  257.76	  271.09	  278.10	  277.76	  280.10	  278.47	  281.45	  277.66	  277.16	  276.87	  277.39	  274.80	  277.23	  274.98	  279.49	  277.20	  276.03	  277.11	  278.95	  278.43	  278.60	    9.14	   16.97	   17.62	   16.16	   14.69	   11.98	   12.93	   13.31	   12.74	   10.80	   10.77	   17.43	   -0.42	   -0.03	   -0.05	    0.14
      34	 16:06:10	  10.800	  132.76	 1028.45	   24.04	  870.16	   1.206	-1175.27	 -753.04	 -888.04	 -531.91	 -478.14	 -398.11	 -345.98	 -314.74	 -278.78	 -251.37	 -214.66	 -205.15	 -182.57	 -163.01	 -149.68	 -127.87	  -97.48	  -78.73	  -59.99	  -49.74	  -35.64	  -19.93	  -10.94	   -5.94	    4.42	-1176.23	   23.66	  273.57	  243.90	  191.83	  154.93	  131.40	  113.64	  100.06	   88.50	   78.65	   70.56	   62.34	   56.91	   51.19	   46.30	   41.82	   39.02	   36.03	   34.58	   33.83	   33.35	   33.57	    4.42	  279.11	  279.06	  278.99	  279.29	  279.75	  279.48	  279.14	  279.27	  279.57	  280.55	  280.17	  277.87	  279.62	  278.42	  279.43	  278.68	  279.43	  279.24	  279.77	  277.46	  266.90	  249.85	  227.22	  204.49	  200.28	  213.13	  235.38	  257.84	  271.70	  278.96	  278.60	  280.99	  280.24	  283.46	  279.92	  279.40	  278.69	  279.35	  276.95	  279.22	  276.96	  281.65	  279.26	  278.02	  279.16	  280.95	  280.52	  280.33	    9.01	   16.88	   17.54	   16.06	   14.61	   11.95	   12.91	   13.24	   12.60	   10.69	   10.64	   17.38	   -0.51	   -0.02	   -0.05	    0.16
      35	 16:06:26	  10.700	  131.28	 1028.44	   24.05	  870.12	   1.206	-1151.53	 -732.25	 -857.53	 -533.64	 -468.82	 -391.26	 -340.35	 -310.08	 -274.74	 -248.59	 -212.66	 -204.16	 -181.13	 -162.13	 -149.12	 -126.28	  -97.37	  -78.45	  -60.19	  -49.56	  -35.41	  -19.50	   -9.87	   -4.45	    6.31	-1151.66	   30.20	  271.49	  240.46	  189.33	  152.94	  129.42	  112.03	   98.65	   87.30	   77.58	   69.63	   61.47	   56.32	   50.74	   45.90	   41.57	   38.84	   35.98	   34.59	   34.00	   33.58	   33.95	    6.31	  277.17	  276.91	  277.02	  277.40	  277.77	  277.46	  277.03	  277.17	  277.49	  278.35	  278.12	  276.06	  277.70	  276.45	  277.37	  276.76	  277.41	  277.40	  278.05	  275.99	  265.68	  249.45	  227.28	  204.50	  199.72	  211.12	  233.68	  255.37	  269.97	  277.15	  276.53	  279.04	  279.27	  282.31	  278.65	  278.22	  277.65	  278.31	  275.75	  278.03	  275.83	  280.39	  278.01	  276.94	  278.13	  279.84	  279.33	  279.29	    9.31	   17.15	   17.84	   16.40	   15.02	   12.53	   13.55	   13.75	   12.90	   11.03	   11.01	   17.67	   -0.02	   -0.06	   -0.15	   -0.01
      36	 16:07:05	  10.600	  131.76	 1028.43	   24.05	  870.07	   1.205	-1290.79	 -720.54	 -838.15	 -546.59	 -467.05	 -388.93	 -339.27	 -309.16	 -273.75	 -246.99	 -211.54	 -203.30	 -180.94	 -161.58	 -148.91	 -126.97	  -97.84	  -78.71	  -60.86	  -50.01	  -35.55	  -19.08	   -9.43	   -3.60	    7.42	-1292.40	   41.17	  271.29	  238.62	  187.41	  151.21	  128.00	  110.57	   97.32	   86.05	   76.44	   68.52	   60.52	   55.39	   49.91	   45.15	   40.88	   38.25	   35.46	   34.10	   33.64	   33.34	   33.88	    7.42	  276.13	  275.60	  276.12	  276.31	  276.85	  276.37	  276.05	  276.31	  276.42	  277.50	  276.96	  275.07	  276.92	  275.47	  276.39	  275.83	  276.30	  276.31	  277.17	  275.21	  266.04	  250.79	  229.43	  206.01	  199.96	  211.52	  234.27	  256.08	  269.28	  276.39	  275.79	  278.31	  279.73	  281.94	  279.31	  278.81	  278.13	  278.87	  276.30	  278.56	  276.46	  280.93	  278.63	  277.46	  278.57	  280.28	  279.86	  279.99	    9.53	   17.30	   17.96	   16.48	   15.12	   12.68	   13.75	   13.83	   13.08	   11.21	   11.16	   17.81	   -0.26	    0.01	   -0.12	    0.16
      37	 16:07:20	  10.500	  131.72	 1028.42	   24.07	  869.77	   1.205	-1287.43	 -718.19	 -828.59	 -564.11	 -466.66	 -389.85	 -340.92	 -310.84	 -275.19	 -248.76	 -213.06	 -204.91	 -183.29	 -163.81	 -150.74	 -128.82	  -99.27	  -80.51	  -61.39	  -50.56	  -35.78	  -18.76	   -8.69	   -2.68	    9.10	-1289.07	   48.34	  274.18	  239.79	  188.13	  151.08	  128.09	  110.72	   97.43	   86.15	   76.57	   68.66	   60.67	   55.55	   50.08	   45.40	   41.11	   38.58	   35.83	   34.58	   34.19	   33.98	   34.66	    9.10	  278.65	  278.11	  278.38	  278.78	  279.31	  278.91	  278.58	  278.77	  278.93	  280.06	  279.62	  277.58	  279.26	  277.85	  278.82	  278.31	  278.82	  278.79	  279.58	  278.06	  269.84	  254.74	  233.11	  208.34	  201.94	  213.35	  236.35	  257.73	  271.81	  278.86	  278.18	  280.55	  279.04	  282.69	  278.51	  278.11	  277.52	  278.20	  275.58	  277.84	  275.76	  280.21	  278.01	  276.87	  277.89	  279.79	  279.16	  279.20	    9.54	   17.20	   17.89	   16.40	   15.03	   12.69	   13.80	   13.74	   13.06	   11.17	   11.14	   17.73	   -0.32	    0.02	   -0.11	    0.13
      38	 16:08:02	  10.250	  130.68	 1028.42	   24.08	  869.89	   1.205	-1237.97	 -693.41	 -781.31	 -634.02	 -454.53	 -382.51	 -334.86	 -306.24	 -271.51	 -245.47	 -211.18	 -204.45	 -181.42	 -163.60	 -150.43	 -129.45	 -100.25	  -80.84	  -62.38	  -51.50	  -35.82	  -18.41	   -7.40	   -0.55	   12.10	-1239.83	   61.52	  273.40	  235.80	  183.45	  148.29	  124.55	  107.91	   94.91	   83.94	   74.62	   66.86	   59.08	   54.25	   48.94	   44.45	   40.41	   38.00	   35.52	   34.47	   34.29	   34.33	   35.20	   12.10	  276.90	  276.17	  276.80	  276.99	  277.50	  277.13	  276.83	  276.94	  277.18	  278.30	  277.62	  275.85	  277.42	  276.06	  277.11	  276.54	  277.06	  277.07	  277.86	  277.17	  270.93	  257.27	  235.34	  210.88	  204.23	  215.93	  239.23	  260.00	  272.05	  277.53	  276.32	  279.06	  279.19	  281.90	  278.74	  278.42	  277.70	  278.54	  275.82	  278.35	  275.90	  280.49	  278.13	  276.91	  278.06	  279.94	  279.52	  279.55	    9.37	   16.98	   17.70	   16.22	   14.89	   12.77	   14.10	   13.68	   12.88	   11.00	   10.98	   17.54	   -0.40	    0.01	   -0.06	    0.19
      39	 16:08:16	  10.000	  129.38	 1028.41	   24.10	  870.28	   1.205	-1188.85	 -671.99	 -743.51	 -699.10	 -442.43	 -377.33	 -330.79	 -302.97	 -269.93	 -244.56	 -211.38	 -203.95	 -183.07	 -164.61	 -152.70	 -131.33	 -102.46	  -83.82	  -64.54	  -52.86	  -37.35	  -18.40	   -7.27	    0.46	   14.16	-1190.55	   75.12	  271.65	  231.84	  178.50	  144.13	  120.53	  104.38	   91.66	   80.95	   71.78	   64.24	   56.88	   52.09	   47.04	   42.71	   38.87	   36.59	   34.34	   33.48	   33.53	   33.80	   34.94	   14.16	  275.23	  274.53	  275.01	  275.09	  275.70	  275.34	  274.94	  275.19	  275.27	  276.41	  275.83	  274.20	  275.66	  274.41	  275.22	  274.68	  275.42	  275.35	  276.37	  275.87	  271.11	  260.05	  238.28	  212.32	  204.62	  216.42	  239.81	  261.11	  271.82	  276.18	  274.42	  277.22	  277.35	  279.99	  276.75	  276.26	  275.67	  276.48	  273.73	  276.08	  273.74	  278.44	  276.14	  274.93	  276.08	  277.88	  277.38	  277.53	    9.09	   16.69	   17.43	   16.00	   14.80	   13.13	   14.81	   14.05	   12.63	   10.82	   10.80	   17.32	   -0.53	    0.03	   -0.08	    0.06
      40	 16:09:01	   9.000	  130.73	 1028.42	   24.11	  869.91	   1.205	-1021.34	 -641.24	 -627.68	 -530.21	 -447.94	 -383.10	 -314.88	 -285.54	 -256.49	 -234.44	 -205.65	 -201.35	 -182.11	 -167.07	 -155.09	 -135.11	 -106.43	  -88.53	  -69.17	  -56.64	  -39.34	  -18.42	   -2.26	    9.16	   28.39	-1021.53	  124.29	  273.46	  221.88	  167.01	  133.83	  111.85	   96.02	   84.23	   74.42	   66.09	   59.32	   52.40	   48.60	   44.23	   40.61	   37.50	   36.01	   34.54	   34.54	   35.50	   36.87	   39.00	   28.39	  276.29	  275.67	  276.20	  276.48	  276.95	  276.54	  276.15	  276.47	  276.64	  277.75	  277.09	  275.19	  277.23	  275.59	  276.49	  275.87	  276.57	  276.46	  277.56	  277.22	  273.19	  259.60	  234.77	  210.70	  213.19	  238.42	  262.80	  274.35	  276.54	  277.71	  275.50	  278.46	  276.48	  280.42	  275.79	  275.41	  274.76	  275.41	  272.81	  275.03	  272.82	  277.28	  275.25	  274.13	  275.13	  276.88	  276.33	  276.38	    9.02	   16.32	   16.97	   15.55	   14.29	   13.62	   14.47	   13.57	   12.22	   10.48	   10.56	   16.87	   -0.24	    0.01	   -0.09	    0.18
      41	 16:09:24	   8.000	  131.16	 1028.44	   24.13	  870.19	   1.205	 -744.32	 -540.98	 -524.69	 -467.49	 -397.66	 -339.23	 -304.70	 -286.59	 -256.74	 -225.70	 -193.36	 -187.02	 -172.12	 -160.94	 -150.68	 -131.85	 -104.39	  -87.13	  -68.56	  -56.82	  -39.84	  -18.58	   -1.35	   11.60	   31.55	 -745.13	  183.75	  270.23	  205.49	  149.49	  118.40	   98.64	   83.50	   72.85	   63.90	   56.62	   50.73	   44.49	   41.47	   37.61	   34.87	   32.34	   31.49	   30.74	   31.41	   33.08	   35.10	   38.04	   31.55	  275.83	  275.19	  275.73	  275.93	  276.40	  276.10	  275.64	  276.07	  276.15	  277.13	  276.66	  274.87	  276.31	  275.08	  276.06	  275.39	  276.02	  276.00	  277.06	  276.93	  276.14	  274.82	  261.87	  232.71	  215.89	  223.10	  249.35	  269.43	  275.34	  277.25	  274.95	  277.99	  278.66	  280.74	  278.08	  277.75	  277.17	  277.68	  275.20	  277.64	  275.10	  279.78	  277.57	  276.20	  277.44	  279.12	  278.65	  278.75	    9.45	   16.25	   16.97	   15.62	   14.46	   14.20	   15.56	   13.95	   12.55	   10.91	   11.00	   16.76	   -0.50	    0.00	   -0.11	    0.07
      42	 16:09:51	   7.000	  132.17	 1028.43	   24.13	  870.05	   1.205	 -481.97	 -423.33	 -428.10	 -406.56	 -356.83	 -307.45	 -275.93	 -260.89	 -238.54	 -220.41	 -195.80	 -192.99	 -176.35	 -155.46	 -140.20	 -123.90	  -98.92	  -82.98	  -65.61	  -54.87	  -38.32	  -17.17	   -0.09	   13.87	   35.36	 -482.55	  229.85	  262.03	  186.41	  131.96	  102.75	   84.84	   70.98	   61.47	   53.70	   47.42	   42.18	   36.85	   34.55	   31.41	   29.25	   27.41	   27.27	   27.20	   28.62	   30.87	   33.59	   37.24	   35.36	  277.77	  277.08	  277.63	  277.83	  278.33	  277.92	  277.76	  277.74	  278.15	  279.15	  278.66	  276.89	  278.26	  276.93	  277.95	  277.13	  278.03	  277.93	  278.78	  278.93	  276.98	  266.67	  241.09	  219.68	  229.48	  257.14	  274.06	  277.52	  278.07	  279.07	  276.77	  279.81	  280.54	  283.30	  280.16	  279.91	  279.24	  279.88	  277.40	  279.79	  277.21	  282.05	  279.61	  278.44	  279.53	  280.90	  280.81	  280.83	    9.31	   15.76	   16.52	   15.24	   14.15	   14.38	   15.10	   13.64	   12.28	   10.81	   10.92	   16.15	    0.08	    0.03	   -0.22	   -0.30
      43	 16:10:18	   6.000	  130.83	 1028.44	   24.15	  870.00	   1.205	 -247.67	 -311.53	 -331.76	 -342.77	 -312.16	 -273.65	 -246.34	 -235.04	 -216.13	 -200.63	 -176.44	 -175.84	 -170.17	 -161.98	 -158.50	 -131.21	  -88.91	  -73.17	  -59.26	  -51.05	  -35.87	  -15.96	    1.16	   14.56	   36.65	 -247.40	  256.00	  242.87	  160.46	  110.30	   84.39	   66.99	   56.19	   48.07	   41.61	   36.17	   32.08	   27.56	   25.95	   23.73	   22.17	   21.04	   21.63	   22.13	   24.32	   27.15	   30.37	   34.77	   36.65	  275.19	  274.50	  275.08	  275.15	  275.73	  275.46	  274.94	  275.20	  275.49	  276.56	  276.05	  274.14	  275.08	  274.35	  275.22	  274.18	  275.53	  275.24	  276.38	  276.28	  275.37	  275.72	  267.18	  240.82	  225.12	  232.77	  255.78	  271.27	  274.97	  276.42	  274.24	  277.17	  277.47	  280.25	  276.95	  276.49	  275.85	  276.29	  273.94	  276.24	  273.86	  278.55	  276.32	  275.10	  276.08	  277.39	  277.46	  277.45	   10.39	   15.98	   16.74	   15.58	   14.60	   14.89	   16.16	   14.48	   13.11	   11.74	   11.84	   16.29	    0.12	    0.03	   -0.14	   -0.12
      44	 16:10:44	   5.000	  130.27	 1028.44	   24.15	  870.04	   1.205	  -49.77	 -206.67	 -240.57	 -281.30	 -266.91	 -238.13	 -218.32	 -212.34	 -196.11	 -181.33	 -159.29	 -160.80	 -153.36	 -144.78	 -142.82	 -136.03	 -125.92	  -76.91	  -48.08	  -42.04	  -30.82	  -12.11	    3.61	   16.84	   37.98	  -47.93	  268.29	  217.68	  133.63	   87.87	   64.57	   51.69	   41.59	   34.94	   29.76	   25.61	   22.42	   18.98	   18.08	   16.43	   15.79	   15.37	   16.59	   17.79	   20.61	   24.01	   27.83	   32.83	   37.98	  275.08	  274.46	  274.96	  275.08	  275.66	  275.32	  274.78	  275.24	  275.53	  276.46	  275.85	  274.20	  274.99	  274.38	  275.19	  274.13	  275.52	  275.37	  276.47	  276.14	  274.92	  272.33	  254.19	  230.50	  230.69	  247.76	  265.22	  273.29	  275.12	  276.44	  274.25	  277.12	  277.37	  278.99	  276.90	  276.37	  275.88	  275.94	  273.83	  276.18	  273.77	  278.52	  276.29	  275.05	  275.98	  277.40	  277.39	  277.42	   10.60	   15.44	   16.22	   15.07	   14.16	   14.35	   15.15	   13.96	   13.10	   11.80	   11.83	   15.61	    0.49	    0.02	   -0.08	    0.09
      45	 16:11:05	   4.000	  129.95	 1028.46	   24.16	  869.80	   1.205	  101.46	 -108.79	 -155.71	 -221.87	 -224.37	 -205.51	 -191.87	 -188.60	 -174.92	 -164.57	 -143.33	 -144.93	 -139.53	 -127.95	 -125.50	 -120.47	 -107.57	 -107.50	  -61.11	  -31.94	  -21.95	   -6.86	    7.21	   18.84	   38.63	  101.21	  266.91	  183.57	  104.46	   64.09	   45.93	   35.22	   27.25	   22.30	   18.42	   15.38	   13.31	   10.61	   10.69	    9.85	    9.91	   10.16	   12.14	   13.93	   17.39	   21.33	   25.65	   30.77	   38.63	  274.90	  274.26	  274.80	  274.45	  275.37	  275.12	  274.87	  275.05	  275.23	  276.25	  275.75	  273.88	  274.85	  274.15	  275.00	  273.78	  275.46	  275.04	  276.44	  276.02	  274.71	  270.02	  250.52	  230.58	  235.01	  252.04	  267.05	  273.59	  274.96	  276.23	  274.01	  277.09	  277.41	  280.28	  276.77	  276.41	  275.84	  275.90	  273.87	  276.25	  273.80	  278.69	  276.44	  275.09	  276.04	  276.99	  277.45	  277.37	   11.18	   15.45	   16.27	   15.24	   14.46	   14.87	   15.73	   14.78	   13.50	   12.41	   12.46	   15.51	    0.71	    0.02	   -0.11	   -0.09
